GEOID,XCoord,YCoord,RoadbedDist,BlockHeight
360050019004011,-73.91533426,40.80055724,12.47820295,4.996178
360050019004012,-73.91883382,40.80202082,12.24773312,3.12867
360050019004013,-73.91586205,40.80022294,30.16891664,3.734084
360050019004014,-73.91679922,40.79983737,19.9767598,2.533587
360050019004015,-73.90756201,40.8067528,6.773309568,0
360050019005000,-73.89844955,40.80069148,14.14000032,1.066066
360050019005001,-73.89784916,40.79636094,18.95338608,0
360050020001000,-73.86270884,40.81860509,8.284073512,1.655655
360050020001001,-73.86349103,40.81899941,0.621974429,0
360050020001002,-73.86362555,40.81797617,6.519617869,2.469355
360050020001003,-73.86453199,40.81789116,14.36922089,2.605445
360050020001004,-73.86547394,40.81776098,11.07716667,2.398082
360050020001005,-73.86270164,40.81767963,3.050967332,1.914898
360050020002000,-73.86219291,40.81602864,8.452130364,2.680944
360050020002001,-73.86311542,40.81590743,3.597352564,2.051393
360050020002002,-73.86404028,40.81578259,6.421005491,2.206018
360050020002003,-73.86498189,40.81565189,8.086850406,5.5848
360050020003000,-73.86958759,40.8195551,4.731322588,1.549739
360050020003001,-73.86871335,40.8192101,5.544020547,3.011102
360050020003002,-73.86786511,40.81743236,7.822544443,2.286829
360050020004000,-73.86694713,40.81554234,15.4099369,1.96712
360050020005000,-73.86787418,40.81962901,5.156423749,4.228575
360050020006000,-73.86503119,40.81972952,9.711211609,2.188161
360050020006001,-73.86597029,40.81988406,3.796377244,3.090652
360050020006002,-73.86693002,40.81975569,5.811554537,3.015126
360050023001000,-73.92688071,40.81038052,8.612971592,4.263506
360050023001001,-73.92735311,40.80972473,21.88125048,3.269806
360050023001002,-73.9263235,40.80929147,12.19965894,7.048059
360050023001003,-73.92585894,40.80995139,7.950296223,5.130749
360050023001004,-73.92679022,40.80867362,7.345939019,5.660568
360050023001005,-73.92778885,40.80911333,8.065018591,4.846961
360050023001006,-73.92866794,40.80952179,6.186347212,3.820388
360050023002000,-73.92426089,40.80923941,8.12547524,5.452357
360050023003000,-73.92476584,40.80858777,9.568401654,5.263137
360050023003001,-73.92517757,40.80796462,7.634440161,4.631351
360050024001000,-73.87199445,40.82455941,9.934497211,0
360050024001001,-73.87305026,40.82441574,8.428423344,0
360050024001002,-73.87301465,40.8242441,7.151573304,0
360050024001003,-73.87195957,40.82438673,3.922561187,0
360050024001004,-73.87289238,40.82352982,1.475227508,0
360050024001005,-73.87192685,40.82393189,5.193034274,0
360050024001006,-73.871571,40.82344987,11.35416162,0
360050024001007,-73.87216256,40.82282181,4.905327891,0
360050024001008,-73.87108826,40.81602084,60.13283204,0.006559
360050025001000,-73.91859635,40.80685201,7.365417927,5.818565
360050025001001,-73.91988331,40.80740131,7.471261429,7.956777
360050025002000,-73.91928177,40.8058972,8.032785737,5.04654
360050025003000,-73.92171252,40.80817805,7.428474197,5.61463
