Geo NUTS CODES,MALE1112,FEMALE1112,MALE1926,FEMALE1926,BOTH1112,BOTH1926,MALE18PLUS,MALE18PLUSAGAINST,18plusFemale,18plussagainstFemale,18plusboth,18plusbothagainst
FR822,1791,1698,5187,4534,3489,6885,52816,20070.08,56543,21486.34,109359,41556.42
FR823,12391,11708,47280,46840,24099,58988,403489,153325.82,467688,177721.44,871177,331047.26
FR824,24736,23008,101812,102608,47744,124820,726201,275956.38,824162,313181.56,1550363,589137.94
FR825,11618,11405,42657,39140,23023,54062,383785,145838.3,428545,162847.1,812330,308685.4
FR826,7251,6858,23572,24036,14109,30430,200568,76215.84,224998,85499.24,425566,161715.08
FR83,3473,3154,14500,13577,6627,17654,123668,46993.84,132347,50291.86,256015,97285.7
FR831,1653,1477,6046,6021,3130,7523,56526,21479.88,61821,23491.98,118347,44971.86
FR832,1819,1678,8454,7558,3497,10132,67149,25516.62,70525,26799.5,137674,52316.12
FR9,32355,30595,92810,97444,62950,123405,608984,231413.92,703611,267372.18,1312595,498786.1
FR91,6637,6291,16900,17220,12928,23191,133469,50718.22,163299,62053.62,296768,112771.84
FR910,6637,6291,16900,17220,12928,23191,133469,50718.22,163299,62053.62,296768,112771.84
FR92,5587,5381,17340,18192,10968,22721,133774,50834.12,164246,62413.48,298020,113247.6
FR920,5587,5381,17340,18192,10968,22721,133774,50834.12,164246,62413.48,298020,113247.6
FR93,5438,5045,13316,14528,10483,18361,68488,26025.44,71877,27313.26,140365,53338.7
FR930,5438,5045,13316,14528,10483,18361,68488,26025.44,71877,27313.26,140365,53338.7
FR94,14692,13878,45254,47506,28570,59132,273251,103835.38,304197,115594.86,577448,219430.24
FR940,14692,13878,45254,47506,28570,59132,273251,103835.38,304197,115594.86,577448,219430.24
FRZ,0,0,0,0,0,0,0,0,0,0,0,0
FRZZ,0,0,0,0,0,0,0,0,0,0,0,0
FRZZZ,0,0,0,0,0,0,0,0,0,0,0,0
