STATE,COUNTY,STATENAME,TOTAL,NUMM1112,NUMF1112,NUMM1826,NUMF1826,PPM1112,PPF1112,PPM1826,PPF1826,INITM1112,INITF1112,INITM1826,INITF1826
31,89,NE,187158,0.000993962,0.001066506,0.000591323,0.000543024,0.454458994,0.554151207,0.081127068,0.111650252,0.315278846,0.32465078,0.243698953,0.284565249
31,91,NE,13118,7.05E-05,7.91E-05,2.86E-05,2.55E-05,0.459694941,0.58622253,0.040846348,0.052127907,0.369390085,0.152602903,0.23413064,0.347217872
31,93,NE,113890,0.000693962,0.000622828,0.000357123,0.000355318,0.521414379,0.53180952,0.080410392,0.130314346,0.386411122,0.280012274,0.238080649,0.269230626
31,95,NE,133848,0.000701344,0.000729899,0.000436827,0.000430459,0.448386447,0.530303016,0.086913849,0.137798749,0.280544844,0.264215854,0.239084046,0.300411914
31,97,NE,93376,0.000461746,0.000430381,0.00054221,0.000222802,0.423156682,0.448220328,0.220728635,0.071123473,0.318135123,0.285719556,0.276619378,0.297258571
31,99,NE,117522,0.000688592,0.000659918,0.000384907,0.000410217,0.50139064,0.546064863,0.087681671,0.160403088,0.38730283,0.30714977,0.273743542,0.308298989
31,101,NE,147680,0.000779197,0.000792182,0.000474714,0.000458855,0.451500885,0.521646654,0.084230522,0.128754069,0.31643088,0.253167825,0.257826085,0.270165057
31,103,NE,14570,7.58E-05,6.23E-05,2.08E-05,2.87E-05,0.445417138,0.415702028,0,0.052286084,0.354148606,0.255162108,0.172471027,0.228449599
31,105,NE,67622,0.000364431,0.000331009,0.000242619,0.000225277,0.461168741,0.47601958,0.10504283,0.149093331,0.290320752,0.240364759,0.379385705,0.269785406
31,107,NE,154850,0.000924164,0.000960835,0.000434863,0.000411091,0.510705811,0.603407925,0.062888652,0.091874801,0.310615031,0.315004217,0.278985308,0.328158436
31,109,NE,5310976,0.02761551,0.027596197,0.036571958,0.034893789,0.444950682,0.505298728,0.275685422,0.408766346,0.331815933,0.28112703,0.326902706,0.399844629
31,111,NE,647540,0.003818802,0.003790856,0.002555432,0.002579256,0.504653996,0.569303566,0.121789672,0.19866274,0.342673715,0.307140364,0.287479213,0.336858895
31,113,NE,13804,6.98E-05,9.10E-05,4.53E-05,3.84E-05,0.432689575,0.640899724,0.097989656,0.119667451,0.320049553,0.348189218,0.323629591,0.375825158
