STATE,COUNTY,TOTAL,NUM.M11-12,NUM.F11-12,NUM.M11-12,PP.F11-12,PP.M11-12,PPF11-12,PP.M18-26,PP.F18-26
5,45,2117854,17901,17533,102496,107629,0.008452424,0.008278663,0.04839616,0.050819839
5,47,322730,2811,2715,9705,8564,0.008710067,0.008412605,0.030071577,0.026536114
5,49,219864,1744,1592,4889,4684,0.007932176,0.00724084,0.022236473,0.021304079
5,51,1740706,12961,12168,47254,48192,0.007445829,0.006990267,0.027146457,0.027685318
5,53,323566,2868,2778,9461,9204,0.008863725,0.008585575,0.029239784,0.02844551
5,55,775650,7093,6699,24093,24388,0.009144588,0.008636627,0.03106169,0.031442016
5,57,402728,3664,3494,11094,12128,0.009097952,0.008675831,0.027547129,0.030114618
5,59,598916,4761,4475,20131,16584,0.007949362,0.007471832,0.033612393,0.027690027
5,61,245274,2235,2172,6729,7437,0.009112258,0.008855403,0.027434624,0.030321192
5,63,664164,5547,5565,20404,19796,0.008351853,0.008378955,0.030721328,0.029805891
5,65,243912,1768,1610,6608,4892,0.007248516,0.006600741,0.027091738,0.020056414
5,67,318738,2248,2261,10878,10159,0.007052815,0.0070936,0.034128344,0.031872572
5,69,1340296,11803,10655,48039,45876,0.008806264,0.007949736,0.035842083,0.03422826
5,71,464902,3958,3922,15596,15402,0.008513622,0.008436187,0.033546855,0.033129563
5,73,132198,1087,993,3537,3587,0.008222515,0.00751146,0.026755322,0.027133542
5,75,308388,2755,2375,9294,9123,0.008933551,0.007701337,0.030137359,0.029582863
5,77,180804,1252,1269,8272,4359,0.006924626,0.00701865,0.0457512,0.02410898
5,79,252674,1700,1706,15178,5413,0.006728037,0.006751783,0.060069497,0.021422861
5,81,231042,2067,1837,6244,5884,0.008946425,0.007950935,0.027025389,0.025467231
5,83,397950,3445,3242,10571,10567,0.008656866,0.008146752,0.026563639,0.026553587
5,85,1262524,12580,12093,40895,40400,0.009964167,0.009578432,0.032391463,0.031999392
5,87,283236,2485,2433,7790,7290,0.008773602,0.00859001,0.027503566,0.025738254
5,89,297276,1946,1824,6547,6186,0.006546105,0.006135712,0.022023305,0.020808945
5,91,785092,6659,6109,26975,25681,0.008481809,0.007781254,0.034359031,0.032710816
5,93,812762,7963,7865,26681,26704,0.009797456,0.00967688,0.032827568,0.032855867
5,95,140402,1009,1100,3635,3729,0.007186507,0.007834646,0.025889945,0.026559451
5,97,166694,1305,1206,3807,3474,0.007828716,0.007234813,0.022838255,0.020840582
5,99,158638,1352,1190,4415,4379,0.008522548,0.007501355,0.027830658,0.027603727
5,101,146410,1216,1013,3739,3322,0.008305444,0.006918926,0.025537873,0.022689707
5,103,455372,3658,3428,12409,13111,0.008032993,0.007527911,0.027250248,0.028791845
5,105,185928,1533,1492,5032,4935,0.008245127,0.008024612,0.02706424,0.026542533
5,107,372486,3668,3469,10343,11757,0.00984735,0.009313102,0.027767487,0.031563602
5,109,200356,1752,1625,5734,5136,0.008744435,0.008110563,0.028619058,0.025634371
5,111,437586,3770,3697,12895,13301,0.008615449,0.008448625,0.029468493,0.030396311
5,113,368012,3335,2995,9244,8971,0.009062204,0.008138322,0.025118746,0.024376922
5,115,1127596,8898,8671,48239,44682,0.007891124,0.007689811,0.042780393,0.039625894
5,117,152786,1211,1087,3779,3808,0.007926119,0.007114526,0.024733942,0.02492375
5,119,6989934,57309,55588,253781,260081,0.00819879,0.007952579,0.036306638,0.037207934
5,121,319596,2694,2535,9304,8800,0.008429392,0.007931889,0.029111754,0.027534763
5,123,495544,4000,3934,18845,13520,0.008071937,0.00793875,0.038028914,0.027283147
5,125,2019426,17896,17022,56629,58048,0.008861924,0.008429128,0.028042127,0.028744802
5,127,196432,1945,1593,5720,5376,0.009901645,0.008109677,0.029119492,0.02736825
5,129,144648,1146,1060,3379,3420,0.007922681,0.007328135,0.023360157,0.023643604
5,131,2282002,19988,19126,78344,78236,0.008758976,0.008381237,0.034331258,0.034283931
5,133,308774,3152,2966,9982,9429,0.010208113,0.009605731,0.032327851,0.030536898
5,135,308444,2535,2255,7265,6812,0.008218672,0.007310889,0.023553708,0.022085046
5,137,224518,1682,1666,4956,5020,0.007491604,0.00742034,0.022073954,0.022359009
5,139,735758,6352,5901,21084,21292,0.008633273,0.0080203,0.028656161,0.028938863
5,141,307108,2287,2175,7394,7034,0.007446892,0.007082199,0.024076221,0.022903995
5,143,3835204,33288,31704,187588,174437,0.00867959,0.008266575,0.048912131,0.045483109
5,145,1407428,11697,11582,52441,53621,0.008310905,0.008229195,0.037260165,0.038098574
5,147,126634,986,1028,3113,3318,0.007786219,0.008117883,0.024582656,0.026201494
5,149,394082,3643,3402,11938,10857,0.009244269,0.008632721,0.030293188,0.027550104
6,1,28184582,211933,203343,1034307,1030265,0.007519466,0.007214689,0.036697617,0.036554205
6,3,20328,153,157,494,400,0.007526564,0.007723337,0.024301456,0.019677292
