STATEFIP,COUNTYFIPS,totalpop,targage1wtd,targage2wtd,malewtd,femalewtd,targ1wtd,targ2wtd,coveredwtd,insurlikelywtd,likelytarg1wtd,targage1pp,targage2pp,malepp,femalepp,targ1pp,targ2pp,coveredpp,insurlikelypp,likelytarg1pp
48,329,325130,16023,13376,77890,77859,8184,6466,125105,32432,0,-0.413879747,-0.428812007,-0.430134791,-0.440503929,-0.403678187,-0.431643349,-0.468021826,-0.480543065,0
26,121,346816,17067,12994,85545,86820,8668,6309,155386,73400,0,-0.398746934,-0.434747774,-0.409180195,-0.41680377,-0.389362939,-0.436610443,-0.420241269,-0.318502547,0
39,3,207484,10207,9285,52882,51810,4768,4135,94706,39777,0,-0.498182851,-0.492380661,-0.498591034,-0.509398635,-0.504713077,-0.505390455,-0.515988574,-0.451491424,0
34,15,584660,28734,22458,141050,149945,14584,10712,273474,82342,0,-0.2296334,-0.287689905,-0.257242263,-0.249850018,-0.214385653,-0.297310354,-0.233909566,-0.283134301,0
55,105,323240,15880,11709,79120,81747,7299,6052,147903,56115,0,-0.415952536,-0.454714951,-0.426767821,-0.4302209,-0.429853795,-0.444741291,-0.432048736,-0.386869818,0
48,121,1612360,79186,60907,370908,383522,39366,31189,654801,134621,0,0.501669936,0.309755996,0.371964998,0.367917214,0.518590531,0.350531555,0.367788399,-0.076355445,0
26,163,3498732,171708,148156,850377,918074,84594,74454,1578114,776389,0,1.842779253,1.665488459,1.684450866,1.781706711,1.856297207,1.719329728,1.824689048,2.462026186,0
26,147,319174,15662,11267,79261,80775,7125,5462,147579,60251,0,-0.419112453,-0.461583039,-0.426381852,-0.432791658,-0.435000186,-0.46340744,-0.432559978,-0.370510719,0
18,3,740808,36318,29350,177634,188059,18152,14794,319702,114039,0,-0.11970308,-0.180597467,-0.157098181,-0.149045656,-0.108855065,-0.168165915,-0.160966152,-0.157763322,0
55,101,390280,19112,14020,96386,98756,9158,6647,176965,63931,0,-0.369104594,-0.41880511,-0.379504326,-0.385235295,-0.37487023,-0.425916955,-0.386191647,-0.355955234,0
48,367,258882,12671,8680,61452,62007,6264,4090,103343,33888,0,-0.462467093,-0.50178155,-0.475131741,-0.482429488,-0.460465947,-0.506814145,-0.502360205,-0.474784155,0
48,29,3857360,188524,171922,914563,943718,92193,82566,1551168,584402,0,2.086527704,2.03478023,1.86015194,1.849530268,2.081052515,1.975973454,1.782170807,1.702661004,0
39,109,209358,10225,6810,51250,52724,5167,3146,95861,34333,0,-0.49792194,-0.530838842,-0.503058428,-0.506981277,-0.492911871,-0.536679983,-0.514166094,-0.473024049,0
6,83,892340,43550,59037,219860,219042,22201,28527,374330,148173,0,-0.014875011,0.280698704,-0.041509836,-0.067101449,0.010902039,0.266312423,-0.074768331,-0.02275329,0
27,37,834972,40738,26429,202466,209161,20190,12422,388923,99881,0,-0.05563504,-0.22598589,-0.089123715,-0.093234836,-0.048577224,-0.24321016,-0.051741956,-0.213762386,0
6,113,431604,21055,35691,102062,107321,10810,18641,189713,61137,0,-0.340940747,-0.08206683,-0.363966992,-0.362582481,-0.326009094,-0.046456298,-0.366076508,-0.367006328,0
24,25,502064,24490,18059,122043,127605,11940,8583,238113,70098,0,-0.291150314,-0.356044466,-0.309271527,-0.308935116,-0.292587131,-0.364666677,-0.289705882,-0.331562931,0
42,11,829624,40416,34764,203553,210196,19570,17369,377964,141688,0,-0.06030244,-0.096471167,-0.08614819,-0.090497455,-0.066914938,-0.086699249,-0.069034222,-0.048403376,0
34,41,213234,10381,7931,52010,54951,5186,3981,98543,28922,0,-0.495660715,-0.513420005,-0.500978024,-0.50109128,-0.492349909,-0.510262637,-0.509934151,-0.494426149,0
26,161,729418,35502,55990,176733,181072,17573,27138,334787,85604,0,-0.131531025,0.23335241,-0.159564555,-0.167524957,-0.125980124,0.22236788,-0.137163447,-0.27023213,0
48,39,708390,34460,23976,170918,167441,17009,11040,279234,74179,0,-0.146634848,-0.264102221,-0.175482383,-0.203576388,-0.142661529,-0.286933241,-0.224820831,-0.315421373,0
48,309,495868,24119,31245,118349,124872,11602,15763,200802,76551,0,-0.296527971,-0.151151708,-0.319383385,-0.316163387,-0.302584143,-0.137509139,-0.348579114,-0.306039414,0
17,99,221284,10763,7934,55965,56056,5336,3729,102701,42033,0,-0.490123613,-0.513373389,-0.490151711,-0.498168763,-0.487913365,-0.518235297,-0.50337322,-0.442568279,0
17,43,1858736,90368,70158,456419,473784,43592,34192,858412,221892,0,0.66375338,0.453504131,0.606040568,0.606643227,0.643582757,0.445539088,0.689067313,0.268827087,0
34,25,1251692,60834,44044,305404,322608,28690,21869,576552,160948,0,0.235657116,0.047727589,0.192656067,0.206811141,0.202826923,0.055669681,0.244318873,0.027775601,0
36,75,237974,11555,12154,60316,60225,5925,5819,111463,48928,0,-0.478643548,-0.447800248,-0.478241398,-0.487142542,-0.470492536,-0.452112838,-0.489547612,-0.415296522,0
6,55,284332,13790,10552,69809,70857,7068,5116,127768,46553,0,-0.446247152,-0.47269318,-0.452255509,-0.459022902,-0.436686073,-0.474354029,-0.463819863,-0.424690347,0
36,103,2985166,144745,116975,736108,761600,71604,56952,1383142,424990,0,1.451949715,1.180977532,1.371653902,1.367862412,1.472092517,1.165609501,1.517041659,1.07213955,0
