,NUTS,VOLMALE1112,VOLFEMALE1112,VOLMALE1926,VOLFEMALE1926,VOLBOTH1112,VOLBOTH1926,VOLMALE18PLUS,VOLMALE18PLUSAGAINST,VOLFEMALE18PLUS,VOLFEMALE18PLUSAGAINST,VOLBOTH18PLUS,VOLBOTH18PLUSAGAINST,NORMMALE1112,NORMFEMALE1112,NORMMALE1926,NORMFEMALE1926,NORMBOTH1112,NORMBOTH1926,NORMMALE18PLUS,NORMMALE18PLUSAGAINST,NORMFEMALE18PLUS,NORMFEMALE18PLUSAGAINST,NORMBOTH18PLUS,NORMBOTH18PLUSAGAINST,id,CNTR_CODE,NUTS_NAME,LEVL_CODE,FID,NUTS_ID,geometry
32,FR411,8879,8185,44641,43948,17064,52826,276003,104881,303234,115228.92,579237,220110,0.232950414,0.22665274,0.283163491,0.247223422,0.229887805,0.272912685,0.273769825,0.273768072,0.271578764,0.271578764,0.272612738,0.272612968,FR411,FR,Meurthe-et-Moselle,3,FR411,FR411,"POLYGON ((5.893 49.497, 6.032 49.251, 5.958 49.048, 7.079 48.536, 7.123 48.514, 5.98 48.349, 5.765 48.496, 5.853 49.04, 5.692 49.416, 5.471 49.497, 5.735 49.546, 5.818 49.546, 5.893 49.497))"
33,FR412,2478,2294,9122,8058,4772,11416,74029,28131,77206,29338.28,151235,57469,0.04679366,0.045680757,0.041374802999999995,0.031993619,0.046252445999999996,0.042155885,0.048058183,0.048056676,0.045861802,0.045861802,0.046898287000000004,0.046898246,FR412,FR,Meuse,3,FR412,FR412,"POLYGON ((5.471 49.497, 5.692 49.416, 5.853 49.04, 5.765 48.496, 5.47 48.421, 4.988 48.684, 4.951 49.237, 5.108 49.585, 5.394 49.617, 5.471 49.497))"
34,FR413,12578,11885,54900,50334,24463,66785,399738,151900,426346,162011.48,826084,313912,0.340526392,0.340317031,0.352999639,0.285519814,0.340424578,0.350699069,0.41204717799999996,0.412044607,0.39452135,0.39452135,0.402791885,0.402792273,FR413,FR,Moselle,3,FR413,FR413,"POLYGON ((6.367 49.47, 6.557 49.419, 6.723 49.219, 7.101 49.156, 7.369 49.161, 7.636 49.054, 7.536 48.932, 7.068 49.066, 6.955 48.894, 7.306 48.769, 7.079 48.536, 5.958 49.048, 6.032 49.251, 5.893 49.497, 6.367 49.47))"
35,FR414,4813,4667,16447,14894,9480,21114,142514,54155,154701,58786.38,297215,112942,0.114701178,0.118579504,0.091238317,0.07298863,0.11658723900000001,0.09619789,0.124592102,0.124589749,0.123250161,0.123250161,0.123883431,0.123884201,FR414,FR,Vosges,3,FR414,FR414,"POLYGON ((7.198 48.31, 6.846 47.823, 6.824 47.813, 6.147 48.016, 5.885 47.926, 5.47 48.421, 5.765 48.496, 5.98 48.349, 7.123 48.514, 7.198 48.31))"
36,FR421,13532,12657,58610,61759,26189,71267,415534,157903,449562,170833.56,865096,328736,0.368271048,0.36403293200000003,0.37825474299999995,0.35403473399999996,0.36621001799999997,0.37567496799999994,0.42969965299999996,0.42969862,0.417705402,0.417705402,0.42336555600000003,0.42336516,FR421,FR,Bas-Rhin,3,FR421,FR421,"POLYGON ((7.636 49.054, 7.911 49.045, 8.068 48.999, 8.233000000000001 48.967, 7.96 48.719, 7.681 48.257, 7.578 48.121, 7.198 48.31, 7.123 48.514, 7.079 48.536, 7.306 48.769, 6.955 48.894, 7.068 49.066, 7.536 48.932, 7.636 49.054))"
37,FR422,9470,9481,34827,33897,18951,44308,283908,107885,302868,115089.84,586776,222975,0.250138142,0.266465962,0.21635659399999999,0.186948282,0.258078492,0.225446217,0.282603885,0.28260243,0.271213268,0.271213268,0.276588564,0.276589042,FR422,FR,Haut-Rhin,3,FR422,FR422,"POLYGON ((7.578 48.121, 7.577 48.116, 7.546 47.744, 7.589 47.59, 7.555 47.565, 7.511 47.503, 7.445 47.462, 7.421 47.446, 7.381 47.432, 7.326 47.44, 7.13 47.503, 6.846 47.823, 7.198 48.31, 7.578 48.121))"
38,FR431,6684,6254,29221,28419,12938,35475,198768,75532,212167,80623.46,410935,156155,0.16911443899999998,0.167332268,0.178194839,0.15409710199999999,0.168247755,0.176224415,0.18745753399999998,0.187456622,0.180637082,0.180637082,0.18385569100000002,0.183855612,FR431,FR,Doubs,3,FR431,FR431,"POLYGON ((6.939 47.434, 6.88 47.352, 7.062 47.344, 6.859 47.165, 6.46 46.852, 6.138 46.558, 6.07 46.69, 6.203 46.773, 5.699 47.265, 6.807 47.563, 6.939 47.434))"
39,FR432,3358,3292,10422,9785,6650,13714,98034,37253,105321,40021.98,203355,77275,0.072386215,0.076339395,0.050224301,0.042350317,0.074308678,0.054961465999999994,0.07488444799999999,0.074883248,0.073938113,0.073938113,0.074384694,0.0743852,FR432,FR,Jura,3,FR432,FR432,"POLYGON ((5.699 47.265, 6.203 46.773, 6.07 46.69, 6.138 46.558, 6.064 46.416, 5.474 46.264, 5.311 46.447, 5.441 46.638, 5.255 46.98, 5.519 47.304, 5.699 47.265))"
40,FR433,3075,2891,9643,8736,5966,12534,90763,34490,95495,36288.1,186258,70778,0.064155882,0.064020644,0.04492141,0.036059537999999995,0.064090115,0.048385927999999995,0.0667589,0.06675763700000001,0.064125635,0.064125635,0.065368287,0.065368602,FR433,FR,Haute-Saône,3,FR433,FR433,"POLYGON ((6.824 47.813, 6.807 47.563, 5.699 47.265, 5.519 47.304, 5.375 47.46, 5.478 47.609, 5.374 47.605, 5.885 47.926, 6.147 48.016, 6.824 47.813))"
41,FR434,1822,1591,8738,6694,3413,10329,55235,20989,56384,21425.92,111619,42415,0.027715574,0.024084542,0.038760798,0.023813807000000003,0.025949774,0.036098588,0.027055357999999998,0.027053017999999998,0.025068456,0.025068456,0.026006086,0.026006162000000003,FR434,FR,Territoire de Belfort,3,FR434,FR434,"POLYGON ((7.13 47.503, 6.939 47.434, 6.807 47.563, 6.824 47.813, 6.846 47.823, 7.13 47.503))"
