NUTS,VOLMALE1112,VOLFEMALE1112,VOLMALE1926,VOLFEMALE1926,VOLBOTH1112,VOLBOTH1926,VOLMALE18PLUS,VOLMALE18PLUSAGAINST,VOLFEMALE18PLUS,VOLFEMALE18PLUSAGAINST,VOLBOTH18PLUS,VOLBOTH18PLUSAGAINST,NORMMALE1112,NORMFEMALE1112,NORMMALE1926,NORMFEMALE1926,NORMBOTH1112,NORMBOTH1926,NORMMALE18PLUS,NORMMALE18PLUSAGAINST,NORMFEMALE18PLUS,NORMFEMALE18PLUSAGAINST,NORMBOTH18PLUS,NORMBOTH18PLUSAGAINST
FR623,15369,14251,79635,79425,29620,93886,479724,182295,515883,196035.54,995607,378331,0.421695507,0.413000737,0.521378343,0.459976492,0.417467171,0.501719113,0.501433789,0.501432201,0.483935137,0.483935137,0.492192848,0.492193572
FR624,2105,2021,6211,5777,4126,8232,73750,28025,79218,30102.84,152968,58128,0.035945907,0.037294175,0.021558737,0.018314623,0.036601581,0.024413078,0.047746393,0.047744945,0.047871034,0.047871034,0.047812215,0.047812812
FR625,1909,1759,5751,5141,3668,7510,68198,25915,74174,28186.12,142372,54101,0.030245747,0.029245515,0.018427376,0.014500576,0.029759326,0.02038974,0.041541876,0.041539719,0.042833975,0.042833975,0.042224226,0.042224103
FR626,2479,2331,9854,8253,4810,12185,88426,33602,98288,37349.44,186714,70951,0.046822742,0.0468174,0.046357751,0.033163021,0.046820144,0.046441129,0.064147237,0.064146149,0.066914791,0.066914791,0.065608767,0.065608693
FR627,4615,4165,14603,13477,8780,18768,142919,54309,157971,60028.98,300890,114338,0.108942853,0.103158024,0.078685645,0.064490981,0.106129644,0.083124829,0.125044701,0.125042643,0.126515661,0.126515661,0.125821507,0.125821583
FR628,3083,2890,9313,8898,5973,12203,91753,34866,98693,37503.34,190446,72369,0.064388542,0.063989924,0.042674999,0.03703104,0.064194691,0.046541434,0.067865253,0.067863403,0.067319234,0.067319234,0.067576903,0.067576607
FR631,2553,2451,9957,8375,5004,12408,95251,36195,103481,39322.78,198732,75518,0.048974844,0.050503809,0.047058904,0.033894646,0.049718392,0.047683795,0.071774367,0.071771812,0.072100645,0.072100645,0.071946673,0.071946819
FR632,1276,1196,4209,3628,2472,5405,48919,18589,52651,20007.38,101570,38597,0.011836557,0.011950111,0.007930511,0.005427221,0.011891779,0.008659649,0.01999705,0.019994942,0.021340593,0.021340593,0.020706567,0.020707505
FR633,3912,3858,17620,18244,7770,21478,144134,54771,161231,61267.78,305365,116039,0.088497892,0.09372696,0.099223286,0.093078344,0.091040829,0.098226277,0.126402498,0.126401322,0.129771175,0.129771175,0.128181478,0.128182247
FR711,8505,8047,26407,24158,16552,34454,223296,84852,232277,88265.26,455573,173118,0.222073579,0.222413369,0.159039081,0.128544185,0.222238822,0.170534903,0.214868266,0.214865485,0.200719409,0.200719409,0.207396333,0.207397025
FR712,3769,3704,11488,10844,7473,15192,119885,45556,129734,49298.92,249619,94855,0.084339101,0.088996068,0.057480888,0.048701065,0.086603822,0.063197606,0.099303556,0.09930125,0.098317518,0.098317518,0.098782835,0.098782891
FR713,6322,6128,20532,19813,12450,26660,180197,68475,196685,74740.3,376882,143215,0.158586593,0.163461538,0.11904616,0.102487526,0.160957318,0.127102918,0.166703918,0.166702937,0.165176387,0.165176387,0.165897237,0.165897358
FR714,16050,15624,65088,61685,31674,80712,451436,171546,479212,182100.56,930648,353646,0.441500654,0.455179405,0.422352469,0.353590961,0.448152741,0.428307133,0.469821151,0.469820842,0.4473146,0.4473146,0.457935566,0.457935495
FR715,9190,8730,35321,34797,17920,44051,277477,105441,307792,116960.96,585269,222402,0.241995056,0.243395183,0.219719403,0.192345519,0.242675949,0.224014087,0.275417062,0.275414956,0.276130492,0.276130492,0.27579382,0.275793827
FR716,21275,20456,105576,113794,41731,126032,637759,242348,713247,271033.86,1351006,513382,0.593456449,0.603618825,0.697966658,0.666084964,0.598398494,0.680852368,0.678042359,0.678039972,0.681027544,0.681027544,0.679618819,0.67961863
FR717,5594,4998,19807,18053,10592,24805,158211,60120,167998,63839.24,326209,123959,0.13741457,0.12874785,0.114110864,0.09193293,0.133199875,0.11676595,0.142133942,0.14213201,0.136528863,0.136528863,0.139173931,0.139173698
FR718,9905,9279,34381,31079,19184,43660,278424,105801,294405,111873.9,572829,217675,0.262789007,0.260260506,0.213320536,0.170048935,0.261559377,0.221835244,0.276475361,0.276473667,0.262761914,0.262761914,0.269233366,0.269233652
FR721,3884,3514,12821,12264,7398,16335,131249,49875,146421,55639.98,277670,105515,0.087683583,0.083159253,0.066555027,0.057216705,0.085483365,0.069566962,0.112003147,0.112002847,0.114981555,0.114981555,0.113576028,0.11357694
FR722,1435,1433,5265,4835,2868,6698,58626,22278,62961,23925.18,121587,46203,0.016460666,0.019230769,0.015119026,0.012665515,0.017807789,0.015864878,0.030844896,0.030843793,0.031636405,0.031636405,0.031262888,0.031263184
FR723,2871,2661,8466,7684,5532,11127,85586,32523,90815,34509.7,176401,67032,0.058223062,0.056955026,0.036909211,0.029750768,0.057606406,0.040545435,0.060973456,0.060972956,0.059452075,0.059452075,0.060170023,0.060169868
FR724,7168,6743,33819,32893,13911,40562,244629,92959,267220,101543.6,511849,194503,0.183190345,0.182354387,0.20949483,0.180927365,0.182783812,0.204571671,0.238708495,0.238707078,0.235614323,0.235614323,0.23707448,0.23707533
FR811,4305,4071,13906,13172,8376,17977,135808,51607,150023,57008.74,285831,108616,0.099927294,0.100270337,0.073940953,0.062661917,0.100094118,0.07871699,0.117097958,0.117096425,0.118578599,0.118578599,0.117879876,0.117880537
FR812,9257,8958,30652,29564,18215,39610,265873,101032,295284,112207.92,561157,213240,0.24394358,0.250399361,0.187936093,0.160963587,0.247083078,0.19926666,0.262449264,0.262448682,0.263639704,0.263639704,0.263077929,0.263078717
FR813,12594,12105,57144,60237,24699,69249,395356,150235,448027,170250.26,843383,320486,0.340991712,0.347075449,0.368275233,0.344907407,0.343950282,0.364429684,0.407150169,0.407148067,0.416172514,0.416172514,0.41191482,0.411915732
FR814,869,807,3044,2723,1676,3851,31025,11790,31281,11886.78,62306,23676,0,0,0,0,0,0,0,0,0,0,0,0
FR815,5448,5173,18345,18199,10621,23518,167723,63735,193077,73369.26,360800,137104,0.133168533,0.134123863,0.104158583,0.092808482,0.133633118,0.109594156,0.152763871,0.152763237,0.161573352,0.161573352,0.157416109,0.157416454
FR821,1944,1898,5877,5615,3842,7775,60814,23109,67058,25482.04,127872,48591,0.031263632,0.033515606,0.019285097,0.01734312,0.032358785,0.02186645,0.033290048,0.033287652,0.035727767,0.035727767,0.034577394,0.034577273
FR822,1791,1698,5187,4534,3489,6885,52816,20070,56543,21486.34,109359,41556,0.026814018,0.02737159,0.014588056,0.010860439,0.02708517,0.016906934,0.024352057,0.024350363,0.025227237,0.025227237,0.024814235,0.024814034
FR823,12391,11708,47280,46840,24099,58988,403489,153326,467688,177721.44,871177,331047,0.335087974,0.334879577,0.301127971,0.264566542,0.334986629,0.307250366,0.416239026,0.416238281,0.435806459,0.435806459,0.426572479,0.426572388
FR824,24736,23008,101812,102608,47744,124820,726201,275956,824162,313181.56,1550363,589138,0.694110804,0.682016466,0.67234396,0.59900331,0.68822923,0.67409851,0.776878788,0.776876566,0.791789913,0.791789913,0.784753271,0.784753525
FR825,11618,11405,42657,39140,23023,54062,383785,145838,428545,162847.1,812330,308685,0.312607242,0.325571393,0.269657797,0.218390184,0.318911813,0.279800282,0.39421925,0.394217083,0.396717324,0.396717324,0.395538469,0.395538193
FR826,7251,6858,23572,24036,14109,30430,200568,76216,224998,85499.24,425566,161715,0.185604188,0.185887196,0.139740369,0.12781256,0.185741817,0.148111205,0.189469085,0.189468174,0.193450425,0.193450425,0.191571609,0.191571833
FR831,1653,1477,6046,6021,3130,7523,56526,21480,61821,23491.98,118347,44972,0.02280064,0.020582453,0.020435531,0.019777874,0.021721918,0.020462182,0.028498087,0.028496983,0.030497974,0.030497974,0.029554216,0.029554791
FR832,1819,1678,8454,7558,3497,10132,67149,25517,70525,26799.5,137674,52316,0.027628326,0.026757188,0.036827523,0.028995154,0.027204685,0.035000808,0.040369589,0.040369255,0.039189996,0.039189996,0.039746653,0.039746864
FR910,6637,6291,16900,17220,12928,23191,133469,50718,163299,62053.62,296768,112772,0.167747564,0.168468911,0.094322026,0.086937488,0.168098361,0.107771951,0.11448406,0.114481996,0.13183633,0.13183633,0.123647697,0.123648274
FR920,5587,5381,17340,18192,10968,22721,133774,50834,164246,62413.48,298020,113248,0.137210993,0.14051364,0.097317241,0.092766504,0.138817097,0.105152881,0.114824906,0.114823136,0.132782026,0.132782026,0.124307962,0.124308871
FR930,5438,5045,13316,14528,10483,18361,68488,26025,71877,27313.26,140365,53339,0.132877708,0.130191693,0.069924643,0.070793754,0.131571478,0.080856826,0.041865959,0.041863214,0.040540136,0.040540136,0.041165799,0.041166593
FR940,14692,13878,45254,47506,28570,59132,273251,103835,304197,115594.86,577448,219430,0.402006689,0.401542148,0.287336369,0.268560497,0.401780779,0.308052805,0.270694387,0.270691927,0.272540439,0.272540439,0.271669277,0.271669257
