,neighborhood,lat,lng,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count
71,71,40.91476837594937,-74.1707307413924,0,1.0,0.0,0.0,0.8094591536546724,0.033000677894519,1.0,0.0
72,72,40.77205067792593,-73.86963967088889,0,1.0,0.0,0.0,0.866160693044603,0.049659553138040394,1.0,0.0
73,73,40.66323019664122,-73.9462218865649,0,0.9803921568627451,0.0,0.0,0.6083346388845357,0.027405143337115977,1.0,0.08163265306122448
74,74,40.89670387742857,-73.97409485971428,0,1.0,0.0,0.0,0.8862719840316577,0.021416142997046923,1.0,0.0
75,75,40.742774499420854,-73.99123991158301,1,0.9803921568627451,0.7555555555555555,0.18506097560975612,0.6551796929763106,0.03568056090859818,0.19999999999999996,0.8673469387755102
76,76,40.902466486333324,-73.86948576666667,0,1.0,0.0,0.0,0.92688913259178,0.08905942574001316,1.0,0.0
77,77,40.91804618590061,-74.07703005434783,0,0.9803921568627451,0.0,0.0,0.8679014279828939,0.04213577063297687,1.0,0.0
78,78,40.80921095833333,-74.07160751820513,0,1.0,0.0,0.0,0.8424518831850802,0.0,1.0,0.0
79,79,40.577326990416665,-73.88633393583333,0,1.0,0.0,0.0,0.881049779216785,0.02771546269176194,1.0,0.0
80,80,40.74038253695653,-74.03112834666666,0,0.9607843137254902,0.7333333333333333,0.2173780487804878,0.6517949878438664,0.04076835005582777,0.44000000000000006,0.0
81,81,40.759015718476185,-73.99074157780953,1,0.9019607843137255,0.7301587301587301,0.5282012195121951,0.8544081769410417,0.03009234877021939,0.25714285714285723,0.7244897959183673
82,82,40.74160303885965,-73.90189535350878,0,0.9215686274509804,0.8253968253968251,0.0742595818815331,0.9582223614810171,0.12090052070216885,0.6,0.0510204081632653
83,83,40.739559394512185,-73.81766404231708,0,0.9019607843137255,0.0,0.0,0.9075089502788074,0.15178375371830663,1.0,0.0
84,84,40.683892845892856,-73.82580452375,0,1.0,0.0,0.0,0.9075089502788074,0.04996707269708183,1.0,0.08163265306122448
85,85,40.601087258355264,-73.99351213302631,0,0.8823529411764706,0.0,0.0,0.9176052129208949,0.08494296365848454,1.0,0.12244897959183673
86,86,40.88762824,-74.1504723764151,0,1.0,0.0,0.0,0.8094591536546724,0.0478743002702181,1.0,0.0
87,87,40.789529048515625,-73.94756894832031,1,0.9215686274509804,0.7288888888888888,0.032621951219512196,0.8581098614253537,0.09168586511530302,0.5519999999999999,0.14285714285714285
88,88,40.96687164309524,-74.06982654154761,0,1.0,0.0,0.0,0.7769113199806854,0.02047956217833497,1.0,0.0
89,89,40.779362756933324,-74.2329693104,0,0.9803921568627451,0.0,0.0,0.9532322546579164,0.567016671636578,1.0,0.0
90,90,40.71593395942363,-73.9972345625072,1,0.0,0.8079772079772081,0.3805190744215135,0.71585750969497,0.7924974788147682,0.49743589743589745,0.4183673469387755
91,91,40.85036736103447,-73.84941548275863,0,1.0,0.0,0.0,0.9108395564607374,0.0870737995926862,1.0,0.0
92,92,40.73047609140351,-73.69946323754388,0,1.0,0.0,0.0,0.8333367180957125,0.10107589041967795,1.0,0.0
93,93,40.708780772444456,-74.24928149733333,0,1.0,0.0,0.0,0.9604505022020295,0.1486545221360774,1.0,0.0
94,94,40.687222485084746,-73.77479850152542,0,0.9803921568627451,0.0,0.0,0.9075089502788074,0.1662360359383516,1.0,0.0
95,95,40.68046251813411,-73.97724643489796,0,0.9411764705882353,0.861111111111111,0.11166158536585366,0.7239748958293339,0.10493754416419036,0.5,0.29591836734693877
96,96,40.82530528955883,-73.82141186573529,0,0.9803921568627451,0.0,0.0,0.8965655299667515,0.0668556968618338,1.0,0.0
97,97,40.70080936171875,-73.94630635859373,0,0.9607843137254902,0.9444444444444444,0.09527439024390244,0.8205302278622033,0.1511798019811259,0.3999999999999999,0.16326530612244897
98,98,40.88056528288889,-74.06635352111111,0,1.0,0.0,0.0,0.8249632995050504,0.06673087949947523,1.0,0.0
99,99,40.81294843212121,-74.15808460257577,0,0.9803921568627451,0.0,0.0,0.8622034222848881,0.06023790005243664,1.0,0.0
100,100,40.610756924615394,-73.92082183102566,0,0.9803921568627451,0.0,0.0,0.9216669277769072,0.08153619370893454,1.0,0.0
101,101,40.764625586897814,-73.95754960010949,1,0.9215686274509804,0.7444444444444445,0.08323170731707318,0.7339796862235226,0.05944175907438826,0.52,0.19387755102040816
102,102,40.7098374177647,-73.86057082647059,0,0.9607843137254902,0.0,0.0,0.9307723105310444,0.049998490784508236,1.0,0.0
103,103,40.74473901326316,-73.95388532105264,0,1.0,0.6666666666666666,0.05182926829268293,0.7580378435775575,0.05544615112449549,0.6,0.2040816326530612
104,104,40.61991286967033,-74.0295000396154,0,0.9803921568627451,0.0,0.0,0.8502967953069781,0.06995115457122177,1.0,0.08163265306122448
105,105,40.720294344038464,-74.08786267346154,0,0.9803921568627451,0.0,0.0,0.7378337133937939,0.13458529447635567,1.0,0.0
106,106,40.64391162732285,-73.97402670496064,0,0.9803921568627451,0.0,0.0,0.851712593056788,0.09774284714433731,1.0,0.08163265306122448
107,107,40.828751065180725,-74.09806272698795,0,0.9803921568627451,0.0,0.0,0.8424518831850802,0.07557847587364165,1.0,0.0
108,108,40.884809547807016,-73.90496285175439,0,0.9803921568627451,0.0,0.0,0.8711856145664695,0.05850625856773054,1.0,0.09183673469387754
109,109,40.67990144109756,-73.91702634670732,0,0.9803921568627451,0.8888888888888888,0.009146341463414635,0.9634445662958899,0.2323377902298445,0.6,0.13265306122448978
110,110,40.762040470289115,-73.97650259562926,1,0.9215686274509804,0.7777777777777777,1.0,0.5586511625208146,0.06484637198162164,0.1428571428571428,0.9897959183673468
111,111,40.66975477711864,-73.80729099067797,0,1.0,0.0,0.0,0.9075089502788074,0.004701268029772219,1.0,0.0
112,112,40.85158579059524,-73.97256768702381,0,0.9607843137254902,0.8148148148148148,0.1778455284552846,0.866276742040489,0.053139303749418894,0.33333333333333326,0.0
113,113,40.85179916540881,-73.93288728188679,1,0.9803921568627451,0.7037037037037036,0.07977642276422765,0.866276742040489,0.027833566160113437,0.6,0.16326530612244897
114,114,40.822533933451325,-73.89224954522123,0,0.9215686274509804,0.0,0.0,0.9291213691597061,0.607309690392058,1.0,0.17346938775510204
115,115,40.946564020833335,-74.02623474708334,0,1.0,0.0,0.0,0.8862719840316577,0.054734412313091674,1.0,0.0
116,116,40.78993444077586,-74.05090679448277,0,1.0,0.0,0.0,0.8424518831850802,0.0356419610097344,1.0,0.0
117,117,40.90973443507463,-74.03245942253731,0,0.9607843137254902,0.0,0.0,0.8862719840316577,0.09248099995391465,1.0,0.0
118,118,40.753382066893934,-74.02619118439394,0,0.9607843137254902,0.7222222222222222,0.058689024390243906,0.8622034222848881,0.0686842974835778,0.3999999999999999,0.0
119,119,40.83220549636364,-73.9449798789091,1,0.9803921568627451,0.8148148148148148,0.03658536585365854,0.9161778102714964,0.09927337811324498,0.6,0.18367346938775508
120,120,40.70697555212766,-73.78872816882979,0,0.9803921568627451,0.0,0.0,0.9075089502788074,0.057473643771405375,1.0,0.19387755102040816
121,121,40.87141018421053,-74.17790277894737,0,1.0,0.0,0.0,0.8424518831850802,0.06971799282398823,1.0,0.0
122,122,40.78471122627451,-73.81359208529412,0,1.0,0.0,0.0,0.9000469998433335,0.03814677654089305,1.0,0.0
123,123,40.759664025423724,-73.92604773350283,0,0.9607843137254902,0.7333333333333333,0.07408536585365855,0.8608981824321336,0.044490096780398176,0.5599999999999999,0.1020408163265306
124,124,40.752720368695655,-73.72704003695652,0,1.0,0.0,0.0,0.9077410482705794,0.03286664576997785,1.0,0.0
